Date,Gold
2001/9/4,115.68
2001/9/5,115.6
2001/9/6,114.97
2001/9/7,114.05
2001/9/8,114.05
2001/9/9,114.05
2001/9/10,114.57
2001/9/11,114.57
2001/9/12,114.57
2001/9/13,114.57
2001/9/14,114.57
2001/9/15,114.57
2001/9/16,114.57
2001/9/17,112.01
2001/9/18,111.92
2001/9/19,111.61
2001/9/20,111.87
2001/9/21,113.04
2001/9/22,113.04
2001/9/23,113.04
2001/9/24,112.84
2001/9/25,112.28
2001/9/26,112.29
2001/9/27,112.98
2001/9/28,113.48
2001/9/29,113.48
2001/9/30,113.48
2001/10/1,113
2001/10/2,113.01
2001/10/3,113.4
2001/10/4,113.16
2001/10/5,112.91
2001/10/6,112.91
2001/10/7,112.91
2001/10/8,112.59
2001/10/9,113.35
2001/10/10,113.7
2001/10/11,114.44
2001/10/12,113.89
2001/10/13,113.89
2001/10/14,113.89
2001/10/15,113.82
2001/10/16,113.92
2001/10/17,114.38
2001/10/18,114.35
2001/10/19,114.86
2001/10/20,114.86
2001/10/21,114.86
2001/10/22,115.75
2001/10/23,115.85
2001/10/24,115.6
2001/10/25,115.55
2001/10/26,115.65
2001/10/27,115.65
2001/10/28,115.65
2001/10/29,114.44
2001/10/30,114.35
2001/10/31,114.86
2001/11/1,114.46
2001/11/2,114.54
2001/11/3,114.54
2001/11/4,114.54
2001/11/5,114.54
2001/11/6,114.81
2001/11/7,114.98
2001/11/8,115.13
2001/11/9,115.09
2001/11/10,115.09
2001/11/11,115.09
2001/11/12,115.34
2001/11/13,116.4
2001/11/14,116.2
2001/11/15,116.51
2001/11/16,116.41
2001/11/17,116.41
2001/11/18,116.41
2001/11/19,116.93
2001/11/20,116.62
2001/11/21,117.15
2001/11/22,117.3
2001/11/23,117.33
2001/11/24,117.33
2001/11/25,117.33
2001/11/26,117.11
2001/11/27,116.89
2001/11/28,116.17
2001/11/29,116.13
2001/11/30,116.13
2001/12/1,116.13
2001/12/2,116.13
2001/12/3,115.96
2001/12/4,116.08
2001/12/5,116.41
2001/12/6,115.63
2001/12/7,116.15
2001/12/8,116.15
2001/12/9,116.15
2001/12/10,116.26
2001/12/11,116.05
2001/12/12,115.33
2001/12/13,115.8
2001/12/14,114.93
2001/12/15,114.93
2001/12/16,114.93
2001/12/17,114.93
2001/12/18,115.15
2001/12/19,115.48
2001/12/20,115.59
2001/12/21,116.98
2001/12/22,116.98
2001/12/23,116.98
2001/12/24,117.94
2001/12/25,117.94
2001/12/26,117.85
2001/12/27,117.57
2001/12/28,117.26
2001/12/29,117.26
2001/12/30,117.26
2001/12/31,116.75
2002/1/1,116.75
2002/1/2,115.79
2002/1/3,116.11
2002/1/4,116.33
2002/1/5,116.33
2002/1/6,116.33
2002/1/7,116.33
2002/1/8,116.83
2002/1/9,117.01
2002/1/10,116.88
2002/1/11,116.64
2002/1/12,116.64
2002/1/13,116.64
2002/1/14,116.64
2002/1/15,117.29
2002/1/16,117.59
2002/1/17,117.85
2002/1/18,117.51
2002/1/19,117.51
2002/1/20,117.51
2002/1/21,117.66
2002/1/22,117.75
2002/1/23,118.47
2002/1/24,118.64
2002/1/25,119.85
2002/1/26,119.85
2002/1/27,119.85
2002/1/28,120.04
2002/1/29,119.62
2002/1/30,119.73
2002/1/31,120.24
2002/2/1,119.79
2002/2/2,119.79
2002/2/3,119.79
2002/2/4,118.9
2002/2/5,119.4
2002/2/6,119.3
2002/2/7,119.07
2002/2/8,118.98
2002/2/9,118.98
2002/2/10,118.98
2002/2/11,118.44
2002/2/12,118.25
2002/2/13,118.8
2002/2/14,118.43
2002/2/15,118.6
2002/2/16,118.6
2002/2/17,118.6
2002/2/18,118.76
2002/2/19,118.36
2002/2/20,118.93
2002/2/21,119.16
2002/2/22,118.48
2002/2/23,118.48
2002/2/24,118.48
2002/2/25,119.13
2002/2/26,119.82
2002/2/27,119.57
2002/2/28,119.16
2002/3/1,119.4
2002/3/2,119.4
2002/3/3,119.4
2002/3/4,118.81
